method,seed,condition,level,steps,n_sensors,n_locally_available,n_tx,transmit_rate,transmission_reduction_pct,mae_skipped,n_skipped_eval,n_true_events,n_server_events,event_recall,event_precision,event_f1,tp,fn,fp,n_high_co2_events,recall_high_co2,n_rapid_rise_events,recall_rapid_rise,mean_aoi,mean_aoi_state,mean_aoi_raw,p90_aoi,p95_aoi,max_aoi,shield_overrides,mean_reward_per_step,packet_delivery_ratio,tx_requested,tx_delivered,graph,reconstructor,adjacency_is_identity
semantic_expert,42,packet_loss,0.0,6431,40,206815,53994,0.2610739066315306,73.89260933684693,7.218922792024657,152821,826,835,0.9987893462469734,0.9880239520958084,0.9933774834437086,825,1,10,751,1.0,78,0.9871794871794872,1.748631628051625,1.748631628051625,1.748631628051625,4.0,4.0,8.0,0,-0.4933284172475157,1.0,53994,53994,hybrid,locf,False
campus_senserl_bc,42,packet_loss,0.0,6431,40,206815,41742,0.20183255566569155,79.81674443343084,9.166883742344297,165073,826,843,0.9915254237288136,0.9715302491103203,0.981426003594967,819,7,24,751,0.996005326231691,78,0.9487179487179487,2.1386642823822113,2.1386642823822113,2.1386642823822113,4.0,5.0,8.0,0,-0.43752441899851346,1.0,41742,41742,hybrid,locf,False
cmappo_kl,42,packet_loss,0.0,6431,40,206815,44108,0.2132727316683993,78.67272683316007,8.87014695126823,162707,826,839,0.9927360774818402,0.9773539928486293,0.984984984984985,820,6,19,751,0.9973368841544608,78,0.9487179487179487,2.0254509407557144,2.0254509407557144,2.0254509407557144,4.0,4.0,8.0,0,-0.44181590074409977,1.0,44108,44108,hybrid,locf,False
campus_senserl_bc,123,packet_loss,0.0,6431,40,206815,41481,0.20057055822836836,79.94294417716317,9.150428828916013,165334,826,840,0.9927360774818402,0.9761904761904762,0.9843937575030012,820,6,20,751,0.996005326231691,78,0.9615384615384616,2.1570362307572695,2.1570362307572695,2.1570362307572695,4.0,5.0,8.0,0,-0.4375142090023616,1.0,41481,41481,hybrid,locf,False
cmappo_kl,123,packet_loss,0.0,6431,40,206815,47406,0.22921935062737228,77.07806493726277,8.453688311199492,159409,826,831,0.9975786924939467,0.9915764139590855,0.9945684972842487,824,2,7,751,0.9986684420772304,78,0.9871794871794872,1.870556678588089,1.870556678588089,1.870556678588089,4.0,4.0,8.0,0,-0.46585572805063225,1.0,47406,47406,hybrid,locf,False
campus_senserl_bc,2024,packet_loss,0.0,6431,40,206815,41018,0.1983318424679061,80.16681575320939,9.223996815382666,165797,826,839,0.9927360774818402,0.9773539928486293,0.984984984984985,820,6,19,751,0.996005326231691,78,0.9615384615384616,2.189317368993936,2.189317368993936,2.189317368993936,4.0,5.0,8.0,0,-0.4377439428647869,1.0,41018,41018,hybrid,locf,False
cmappo_kl,2024,packet_loss,0.0,6431,40,206815,44386,0.21461692817252134,78.53830718274787,8.749884564948378,162429,826,833,0.9939467312348669,0.985594237695078,0.9897528631705848,821,5,12,751,0.9973368841544608,78,0.9615384615384616,2.0371598507230604,2.0371598507230604,2.0371598507230604,4.0,5.0,8.0,0,-0.4512590640057247,1.0,44386,44386,hybrid,locf,False
campus_senserl_bc,3407,packet_loss,0.0,6431,40,206815,41250,0.19945361796774896,80.05463820322511,9.210672545525926,165565,826,841,0.9939467312348669,0.976218787158145,0.98500299940012,821,5,20,751,0.9973368841544608,78,0.9615384615384616,2.1743857875913544,2.1743857875913544,2.1743857875913544,4.0,5.0,8.0,0,-0.43773907079859264,1.0,41250,41250,hybrid,locf,False
cmappo_kl,3407,packet_loss,0.0,6431,40,206815,47186,0.22815559799821097,77.18444020017891,8.564815916907328,159629,826,831,0.9963680387409201,0.9903730445246691,0.9933614966807484,823,3,8,751,0.9986684420772304,78,0.9743589743589743,1.8753459804074017,1.8753459804074017,1.8753459804074017,4.0,4.0,8.0,0,-0.46508295836704655,1.0,47186,47186,hybrid,locf,False
campus_senserl_bc,9999,packet_loss,0.0,6431,40,206815,41439,0.200367478180983,79.9632521819017,9.210363051470589,165376,826,840,0.9927360774818402,0.9761904761904762,0.9843937575030012,820,6,20,751,0.996005326231691,78,0.9615384615384616,2.1599751205100297,2.1599751205100297,2.1599751205100297,4.0,5.0,8.0,0,-0.4378991792865254,1.0,41439,41439,hybrid,locf,False
cmappo_kl,9999,packet_loss,0.0,6431,40,206815,46974,0.2271305272828373,77.28694727171627,8.642056793938977,159841,826,831,0.9939467312348669,0.9879663056558363,0.9909474954737477,821,5,10,751,0.9973368841544608,78,0.9615384615384616,1.8665565230912766,1.8665565230912766,1.8665565230912766,4.0,4.0,8.0,0,-0.46834103978196007,1.0,46974,46974,hybrid,locf,False
semantic_expert,42,packet_loss,0.1,6431,40,206815,57500,0.2780262553489834,72.19737446510166,7.605495539627701,155144,826,839,0.9915254237288136,0.9761620977353993,0.9837837837837838,819,7,20,751,0.996005326231691,78,0.9358974358974359,1.8319818068729592,1.8319234955683408,1.8319818068729592,4.0,4.0,9.0,0,-0.4947276097617804,0.8986260869565217,57500,51671,hybrid,locf,False
campus_senserl_bc,42,packet_loss,0.1,6431,40,206815,45204,0.2185721538573121,78.14278461426879,9.390551020039826,166219,826,849,0.9842615012106537,0.9575971731448764,0.9707462686567164,813,13,36,751,0.996005326231691,78,0.8717948717948718,2.2121520758824444,2.2120315658529,2.2121520758824444,4.0,5.0,10.0,0,-0.44686145434440977,0.8980621183966021,45204,40596,hybrid,locf,False
cmappo_kl,42,packet_loss,0.1,6431,40,206815,47650,0.23039914899789668,76.96008510021034,9.10565814581568,164029,826,836,0.9794188861985472,0.9677033492822966,0.97352587244284,809,17,27,751,0.9946737683089214,78,0.8333333333333334,2.1008319079458873,2.100773596641269,2.1008319079458873,4.0,5.0,9.0,0,-0.45293927253648536,0.897922350472193,47650,42786,hybrid,locf,False
campus_senserl_bc,123,packet_loss,0.1,6431,40,206815,44962,0.21740202596523464,78.25979740347654,9.408215622540391,166439,826,850,0.9854721549636803,0.9576470588235294,0.9713603818615751,814,12,36,751,0.9933422103861518,78,0.9102564102564102,2.225571450785259,2.2254626030166382,2.225571450785259,4.0,5.0,10.0,0,-0.44630372586001155,0.8980027578844357,44962,40376,hybrid,locf,False
cmappo_kl,123,packet_loss,0.1,6431,40,206815,51120,0.2471774291033049,75.28225708966951,8.70563120311733,160907,826,840,0.986682808716707,0.9702380952380952,0.978391356542617,815,11,25,751,0.996005326231691,78,0.8974358974358975,1.9420346757891462,1.9419569273829886,1.9420346757891462,4.0,4.0,9.0,0,-0.471025608208124,0.8980438184663537,51120,45908,hybrid,locf,False
campus_senserl_bc,2024,packet_loss,0.1,6431,40,206815,44451,0.21493121872204626,78.50687812779537,9.462619314402813,166891,826,842,0.9782082324455206,0.9596199524940617,0.9688249400479616,808,18,34,751,0.9920106524633822,78,0.8333333333333334,2.2587039340693518,2.2586261856631937,2.2587039340693518,5.0,5.0,10.0,0,-0.4457989763024318,0.8981575217655395,44451,39924,hybrid,locf,False
cmappo_kl,2024,packet_loss,0.1,6431,40,206815,47923,0.23171916930590142,76.82808306940986,8.990860024666333,163786,826,839,0.9794188861985472,0.964243146603099,0.9717717717717719,809,17,30,751,0.9933422103861518,78,0.8461538461538461,2.1153591976364483,2.1152969989115222,2.1153591976364483,4.0,5.0,9.0,0,-0.4577318059542359,0.8978778457108277,47923,43029,hybrid,locf,False
campus_senserl_bc,3407,packet_loss,0.1,6431,40,206815,44703,0.21614969900635833,78.38503009936417,9.436736506107952,166668,826,841,0.9830508474576272,0.9655172413793104,0.9742051589682064,812,14,29,751,0.9946737683089214,78,0.8717948717948718,2.2432669880267455,2.2431698025190485,2.2432669880267455,5.0,5.0,10.0,0,-0.44621337548388673,0.8980829027134645,44703,40147,hybrid,locf,False
cmappo_kl,3407,packet_loss,0.1,6431,40,206815,50933,0.24627323936851775,75.37267606314822,8.838615945313325,161063,826,836,0.9830508474576272,0.9712918660287081,0.977135980746089,812,14,24,751,0.996005326231691,78,0.8589743589743589,1.9470027989426217,1.9469444876380033,1.9470027989426217,4.0,4.0,9.0,0,-0.4701589248902642,0.8982781300924745,50933,45752,hybrid,locf,False
campus_senserl_bc,9999,packet_loss,0.1,6431,40,206815,44901,0.21710707637260354,78.28929236273964,9.416025995243015,166492,826,843,0.9757869249394673,0.9561091340450771,0.9658478130617136,806,20,37,751,0.9880159786950732,78,0.8461538461538461,2.2296532421085367,2.229552169180532,2.2296532421085367,4.0,5.0,10.0,0,-0.44716241756172453,0.898042359858355,44901,40323,hybrid,locf,False
cmappo_kl,9999,packet_loss,0.1,6431,40,206815,50717,0.24522882769625026,75.47711723037497,8.919859849306999,161255,826,828,0.9806295399515739,0.9782608695652174,0.9794437726723095,810,16,18,751,0.9946737683089214,78,0.8461538461538461,1.9391191105582335,1.9390491369926917,1.9391191105582335,4.0,4.0,9.0,0,-0.47156207937146516,0.8983181181852239,50717,45560,hybrid,locf,False
semantic_expert,42,packet_loss,0.2,6431,40,206815,61743,0.29854217537412664,70.14578246258733,8.058779445294787,157453,826,835,0.9697336561743342,0.9592814371257485,0.9644792293798916,801,25,34,751,0.9920106524633822,78,0.7435897435897436,1.9255870004664903,1.92540429171202,1.9255870004664903,4.0,4.0,11.0,0,-0.5049574470178149,0.7994752441572324,61743,49362,hybrid,locf,False
campus_senserl_bc,42,packet_loss,0.2,6431,40,206815,49218,0.23798080410028286,76.20191958997171,9.702902358913109,167450,826,844,0.9612590799031477,0.9407582938388626,0.9508982035928144,794,32,50,751,0.9920106524633822,78,0.6538461538461539,2.2972632561032498,2.296998911522314,2.2972632561032498,5.0,5.0,10.0,0,-0.4591612750431135,0.7998090129627372,49218,39365,hybrid,locf,False
cmappo_kl,42,packet_loss,0.2,6431,40,206815,51825,0.2505862727558446,74.94137272441554,9.434566244006264,165381,826,847,0.9769975786924939,0.9527744982290437,0.9647340107591154,807,19,40,751,0.9973368841544608,78,0.782051282051282,2.183622298242886,2.1833346291401026,2.183622298242886,4.0,5.0,11.0,0,-0.466769730544339,0.7994983116256633,51825,41434,hybrid,locf,False
campus_senserl_bc,123,packet_loss,0.2,6431,40,206815,48973,0.23679617049053503,76.3203829509465,9.650408007444346,167644,826,852,0.9733656174334141,0.9436619718309859,0.9582836710369488,804,22,48,751,0.9946737683089214,78,0.7692307692307693,2.3207044005597885,2.3203078836883844,2.3207044005597885,5.0,5.0,12.0,0,-0.4581866598953513,0.7998488963306312,48973,39171,hybrid,locf,False
cmappo_kl,123,packet_loss,0.2,6431,40,206815,55407,0.2679060996542804,73.20939003457197,8.99643022003385,162475,826,841,0.9769975786924939,0.9595719381688466,0.9682063587282544,807,19,34,751,0.9920106524633822,78,0.8205128205128205,2.033859430881667,2.0337117089099674,2.033859430881667,4.0,5.0,10.0,0,-0.4813256457652653,0.8002598949591206,55407,44340,hybrid,locf,False
campus_senserl_bc,2024,packet_loss,0.2,6431,40,206815,48405,0.2340497546116094,76.59502453883906,9.66441990790867,168094,826,851,0.9733656174334141,0.9447708578143361,0.9588550983899822,804,22,47,751,0.9920106524633822,78,0.7948717948717948,2.3460426061265744,2.345723837661328,2.3460426061265744,5.0,5.0,10.0,0,-0.45667451360779754,0.7999380229315154,48405,38721,hybrid,locf,False
cmappo_kl,2024,packet_loss,0.2,6431,40,206815,52000,0.2514324396199502,74.85675603800497,9.250975906458232,165231,826,841,0.9721549636803875,0.9548156956004756,0.9634073185362928,803,23,38,751,0.9880159786950732,78,0.8205128205128205,2.198857098429482,2.198666614834396,2.198857098429482,4.0,5.0,10.0,0,-0.4701607121465299,0.7996923076923077,52000,41584,hybrid,locf,False
campus_senserl_bc,3407,packet_loss,0.2,6431,40,206815,48661,0.23528757585281532,76.47124241471846,9.676318172071191,167884,826,852,0.9745762711864406,0.9448356807511737,0.9594755661501788,805,21,47,751,0.9893475366178429,78,0.8205128205128205,2.3325765821800655,2.3322306017726637,2.3325765821800655,5.0,5.0,11.0,0,-0.45712503617806516,0.8000452107437167,48661,38931,hybrid,locf,False
cmappo_kl,3407,packet_loss,0.2,6431,40,206815,55187,0.26684234702511905,73.31576529748808,9.136809359572597,162657,826,834,0.9697336561743342,0.960431654676259,0.9650602409638555,801,25,33,751,0.9906790945406125,78,0.7564102564102564,2.0352744518737365,2.035025656974032,2.0352744518737365,4.0,4.0,10.0,0,-0.48070481994023645,0.8001522097595448,55187,44158,hybrid,locf,False
campus_senserl_bc,9999,packet_loss,0.2,6431,40,206815,48890,0.2363948456349878,76.36051543650122,9.724770587498734,167711,826,861,0.9794188861985472,0.9396051103368177,0.959098992294013,809,17,52,751,0.9973368841544608,78,0.7948717948717948,2.3164554501632715,2.316121132016794,2.3164554501632715,5.0,5.0,11.0,0,-0.45842972969718876,0.7998363673552874,48890,39104,hybrid,locf,False
