scenario,split,cohort,method,configuration,run,checkpoint,packet_loss,target_reduction,n_available,n_tx_attempts,n_delivered,transmission_rate,transmission_reduction,mae,event_tp,event_fp,event_fn,precision,recall,f1,aoi_raw,mae_ok,event_ok,aoi_ok,all_constraints_satisfied,n_true_events,aggregation,source,packet_loss_mode,notes
validation_cohort,val,final,fixed_15,interval_steps=1 (15 min),deterministic,,0.0,,206815.0,206815.0,206815.0,1.0,0.0,,826.0,0.0,0.0,1.0,1.0,1.0,0.0010884776862074,,True,True,,826.0,single_run,revision_eval,none,Periodic TX on locally available slots only
validation_cohort,val,final,fixed_30,interval_steps=2 (30 min),deterministic,,0.0,,206815.0,103504.0,103504.0,0.500466600585064,0.499533399414936,9.659978124304285,769.0,83.0,57.0,0.9025821596244132,0.9309927360774818,0.9165673420738976,0.6013878090499145,False,False,True,False,826.0,single_run,revision_eval,none,Periodic TX on locally available slots only
validation_cohort,val,final,fixed_45,interval_steps=3 (45 min),deterministic,,0.0,,206815.0,68883.0,68883.0,0.3330657834296351,0.6669342165703649,10.474124931125482,748.0,124.0,78.0,0.8577981651376146,0.9055690072639224,0.8810365135453475,1.201675478152698,False,False,True,False,826.0,single_run,revision_eval,none,Periodic TX on locally available slots only
validation_cohort,val,final,fixed_60,interval_steps=4 (60 min),deterministic,,0.0,,206815.0,51149.0,51149.0,0.2473176510407852,0.7526823489592147,11.335269101794868,733.0,123.0,93.0,0.8563084112149533,0.887409200968523,0.8715814506539834,1.88528611413466,False,False,True,False,826.0,single_run,revision_eval,none,Periodic TX on locally available slots only
validation_cohort,val,final,fixed_75,interval_steps=5 (75 min),deterministic,,0.0,,206815.0,41325.0,41325.0,0.1998162609095085,0.8001837390904916,11.755109070034443,731.0,136.0,95.0,0.8431372549019608,0.8849878934624698,0.8635558180744242,2.3895933758357955,False,False,True,False,826.0,single_run,revision_eval,none,Periodic TX on locally available slots only
validation_cohort,val,final,fixed_90,interval_steps=6 (90 min),deterministic,,0.0,,206815.0,34419.0,34419.0,0.1664240988322897,0.8335759011677103,12.517337989280492,711.0,144.0,115.0,0.8315789473684211,0.860774818401937,0.8459250446162999,3.0066319390452496,False,False,True,False,826.0,single_run,revision_eval,none,Periodic TX on locally available slots only
validation_cohort,val,final,semantic_expert,frozen_expert_thresholds,deterministic,,0.0,,206815.0,53994.0,53994.0,0.2610739066315306,0.7389260933684694,7.218922792024657,825.0,10.0,1.0,0.9880239520958084,0.9987893462469734,0.9933774834437086,1.748631628051625,True,True,True,True,826.0,single_run,revision_eval,none,Frozen semantic expert; not retuned
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",deterministic,,0.0,,206815.0,56198.0,56198.0,0.2717307738800377,0.7282692261199624,9.224011897727348,818.0,43.0,8.0,0.9500580720092916,0.9903147699757868,0.9697688203912268,1.4430765044316591,False,True,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=4",deterministic,,0.0,,206815.0,46256.0,46256.0,0.2236588255203926,0.7763411744796074,9.647045634315113,816.0,60.0,10.0,0.9315068493150684,0.9878934624697336,0.9588719153936546,1.9077048670502248,False,True,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=5",deterministic,,0.0,,206815.0,39654.0,39654.0,0.1917365761671058,0.8082634238328941,10.056430626761026,817.0,60.0,9.0,0.9315849486887116,0.9891041162227604,0.9594832648267764,2.372364329031255,False,True,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=25,heartbeat=6",deterministic,,0.0,,206815.0,34921.0,34921.0,0.1688513889224669,0.831148611077533,10.492885150150672,816.0,70.0,10.0,0.9209932279909706,0.9878934624697336,0.9532710280373832,2.831507541595397,False,True,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=50,heartbeat=3",deterministic,,0.0,,206815.0,52459.0,52459.0,0.2536518144235186,0.7463481855764814,10.087777605016974,806.0,73.0,20.0,0.9169510807736064,0.9757869249394672,0.9454545454545454,1.4920230135282226,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=50,heartbeat=4",deterministic,,0.0,,206815.0,42178.0,42178.0,0.2039407199671203,0.7960592800328796,10.597107576061276,798.0,87.0,28.0,0.9016949152542372,0.9661016949152542,0.9327878433664524,1.9891851967034675,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=50,heartbeat=5",deterministic,,0.0,,206815.0,35326.0,35326.0,0.1708096608079684,0.8291903391920316,11.132871496130948,796.0,105.0,30.0,0.8834628190899001,0.9636803874092008,0.9218297625940938,2.4793266988026748,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=50,heartbeat=6",deterministic,,0.0,,206815.0,30452.0,30452.0,0.1472427048328216,0.8527572951671785,11.60276248419453,791.0,84.0,35.0,0.904,0.9576271186440678,0.9300411522633746,2.9730446275851343,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=75,heartbeat=3",deterministic,,0.0,,206815.0,52049.0,52049.0,0.2516693663418998,0.7483306336581002,10.393316361474742,803.0,77.0,23.0,0.9125,0.9721549636803876,0.9413833528722158,1.4975509252060333,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=75,heartbeat=4",deterministic,,0.0,,206815.0,41731.0,41731.0,0.2017793680342335,0.7982206319657665,10.977962734123237,797.0,99.0,29.0,0.8895089285714286,0.9648910411622276,0.9256678281068524,1.996003731923496,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=75,heartbeat=5",deterministic,,0.0,,206815.0,34859.0,34859.0,0.1685516040906123,0.8314483959093877,11.520609923468797,792.0,112.0,34.0,0.8761061946902655,0.9588377723970944,0.915606936416185,2.489332918675167,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=75,heartbeat=6",deterministic,,0.0,,206815.0,29948.0,29948.0,0.1448057442641974,0.8551942557358025,12.06444955814256,769.0,125.0,57.0,0.860178970917226,0.9309927360774818,0.8941860465116279,2.988466023946509,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=100,heartbeat=3",deterministic,,0.0,,206815.0,51891.0,51891.0,0.250905398544593,0.749094601455407,10.569679326637576,808.0,103.0,18.0,0.8869374313940724,0.9782082324455206,0.9303396660909614,1.4979513294977451,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=100,heartbeat=4",deterministic,,0.0,,206815.0,41573.0,41573.0,0.2010154002369267,0.7989845997630733,11.17594195180402,798.0,111.0,28.0,0.8778877887788779,0.9661016949152542,0.919884726224784,1.9996928937956773,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=100,heartbeat=5",deterministic,,0.0,,206815.0,34682.0,34682.0,0.1676957667480598,0.8323042332519401,11.738771763694352,782.0,128.0,44.0,0.8593406593406593,0.946731234866828,0.900921658986175,2.49197247706422,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,delta_plus_heartbeat,"delta_ppm=100,heartbeat=6",deterministic,,0.0,,206815.0,29769.0,29769.0,0.143940236443198,0.8560597635568019,12.32960360584255,760.0,149.0,66.0,0.8360836083608361,0.9200968523002422,0.8760806916426512,2.993597418752916,False,False,True,False,826.0,single_run,revision_eval,none,VAL grid; selection uses this split only
validation_cohort,val,final,cmappo_kl,tau=0.5,42,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_42\best_model.pt,0.0,,206815.0,44162.0,44162.0,0.2135338345864661,0.7864661654135339,8.922798841705964,820.0,22.0,6.0,0.973871733966746,0.9927360774818402,0.9832134292565948,2.014538951951485,True,True,True,True,826.0,single_run,revision_eval,none,Frozen final KL-CMAPPO; no retraining
validation_cohort,val,final,cmappo_kl,tau=0.5,123,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_123\best_model.pt,0.0,,206815.0,47548.0,47548.0,0.2299059545971037,0.7700940454028963,8.540526286047957,823.0,9.0,3.0,0.9891826923076924,0.99636803874092,0.9927623642943304,1.8489231845747165,True,True,True,True,826.0,single_run,revision_eval,none,Frozen final KL-CMAPPO; no retraining
validation_cohort,val,final,cmappo_kl,tau=0.5,2024,C:\Users\test\Desktop\CAMPUS-SenseRL\results\rl_final\cmappo_kl\seed_2024\best_model.pt,0.0,,206815.0,44543.0,44543.0,0.2153760607306046,0.7846239392693953,8.794406921711694,821.0,12.0,5.0,0.985594237695078,0.9939467312348668,0.9897528631705848,2.0183874980562897,True,True,True,True,826.0,single_run,revision_eval,none,Frozen final KL-CMAPPO; no retraining
